english_word	offset	definition	c_lu_id	spelling	provenance
affirmatory	eng-30-00075135-a	affirming or giving assent	r_a-9555	bevestigend	google_std-dict
derived	eng-30-00698262-a	formed or developed from something else; not original	d_a-400669	afgeleid	bing_opus_std-dict
horned	eng-30-02033868-a	having a horn or horns or hornlike parts or horns of a particular kind	d_a-88420	gehoornd	automatic-rule-1_bing_opus_std-dict
disarranged	eng-30-01681607-a	having the arrangement disturbed; not in order	r_a-13694	ontregeld	google_std-dict
pyrotechnical	eng-30-03106846-a	of or relating to the craft of making fireworks	d_a-232129	pyrotechnisch	automatic-rule-1_google_bing_std-dict
geothermic	eng-30-02735669-a	of or relating to the heat in the interior of the earth	d_a-90583	geothermisch	automatic-rule-1_google_std-dict
ornithological	eng-30-03094928-a	of or relating to ornithology	r_a-13936	ornithologisch	google_alt-dict
palatable	eng-30-01716227-a	acceptable to the taste or mind	r_a-16268	verteerbaar	opus_std-dict
columbian	eng-30-03029984-a	of or relating to Christopher Columbus	d_a-55304	Columbiaans	automatic-rule-1_bing_std-dict
atrophied	eng-30-00554879-a	(of an organ or body part) diminished in size or strength as a result of disease or injury or lack of use	d_a-519651	afgestorven	bing_std-dict
unassertive	eng-30-00156839-a	inclined to timidity or lack of self-confidence	r_a-8817	assertief	bing_std-dict
indigestible	eng-30-01182747-a	digested with difficulty	r_a-13769	onverteerbaar	google_opus_std-dict
inaccurate	eng-30-00023383-a	not exact	r_a-13600	onnauwkeurig	opus_alt-dict
astigmatic	eng-30-00108698-a	of or relating to a defect in the eye or in a lens caused by a deviation from spherical curvature which prevents light rays from meeting at a common focus and so results in distorted images	d_a-14270	astigmatisch	bing_std-dict
unsubstantial	eng-30-00625774-a	lacking material form or substance; unreal	d_a-195084	onstoffelijk	google_std-dict
inaudible	eng-30-00174379-a	impossible to hear; imperceptible by the ear	r_a-13568	onhoorbaar	google_bing_opus_std-dict
multilateral	eng-30-00237240-a	having many parts or sides	r_a-12976	multilateraal	bing_opus_alt-dict
remediable	eng-30-01962631-a	capable of being remedied or redressed	r_a-11809	herstelbaar	bing_alt-dict
suppurative	eng-30-02805735-a	relating to or characterized by suppuration	d_a-228578	purulent	automatic-rule-1_opus_std-dict
saleable	eng-30-02061799-a	capable of being sold; fit for sale	d_a-310412	verkoopbaar	google_std-dict
unethical	eng-30-00905728-a	not conforming to approved standards of social or professional behavior	d_a-208121	onethisch	google_bing_opus_std-dict
immutable	eng-30-00356648-a	not subject or susceptible to change or variation in form or quality or nature	r_a-13725	onveranderlijk	opus_alt-dict
uneducated	eng-30-00830717-a	not having a good education	r_a-13527	ongeschoold	opus_std-dict
impressionable	eng-30-02364448-a	easily impressed or influenced	r_a-9426	beïnvloedbaar	opus_std-dict
hexagonal	eng-30-02741797-a	having six sides or divided into hexagons	d_a-344179	zeshoekig	automatic-rule-1_bing_opus_std-dict
subtropic	eng-30-02929216-a	of or relating to or characteristic of conditions in the subtropics	r_a-15102	subtropisch	google_alt-dict
collapsible	eng-30-00465737-a	capable of collapsing or being collapsed	d_a-126843	inklapbaar	bing_std-dict
resentful	eng-30-00116529-a	full of or marked by resentment or indignant ill will	r_a-15937	verbitterd	automatic-rule-1_opus_std-dict
oiled	eng-30-01955031-a	treated with oil	r_a-11288	geolied	automatic-rule-1_opus_std-dict
contextual	eng-30-03002190-a	relating to or determined by or in context	r_a-15120	systematisch	opus_alt-dict
overt	eng-30-01704761-a	open and observable; not secret or hidden	r_a-13865	openlijk	google_std-dict
endocrinal	eng-30-02915055-a	of or belonging to endocrine glands or their secretions	d_a-73978	endocrien	automatic-rule-1_google_bing_opus_std-dict
oligarchic	eng-30-02770742-a	of or relating to or supporting or characteristic of an oligarchy	d_a-189672	oligarchisch	automatic-rule-1_bing_opus_std-dict
pulmonary	eng-30-02935115-a	relating to or affecting the lungs	d_a-227957	pulmonair	automatic-rule-1_bing_opus_std-dict
postmodernist	eng-30-02835329-a	of or relating to postmodernism	r_a-14213	postmodern	opus_alt-dict
rotational	eng-30-03112379-a	of or pertaining to rotation	d_a-248455	roterend	automatic-rule-1_opus_std-dict
convergent	eng-30-00612114-a	tending to come together from different directions	r_a-9778	convergent	bing_opus_alt-dict
romanic	eng-30-02921325-a	of or relating to or derived from Rome (especially ancient Rome)	d_a-536615	romaans	automatic-rule-1_bing_std-dict
siliceous	eng-30-02797704-a	relating to or containing or resembling silica	d_a-150918	kiezelhoudend	automatic-rule-1_google_bing_std-dict
cardiologic	eng-30-02914902-a	of or relating to or used in or practicing cardiology	d_a-55198	cardiologisch	automatic-rule-1_google_std-dict
convex	eng-30-00537339-a	curving or bulging outward	d_a-52104	convex	google_opus_std-dict
conspiratorial	eng-30-02919275-a	relating to or characteristic of conspiracy or conspirators	d_a-283912	samenzweerderig	automatic-rule-1_bing_std-dict
cretaceous	eng-30-03057732-a	abounding in chalk	r_a-12663	krijtachtig	google_alt-dict
sociological	eng-30-02906206-a	of or relating to or determined by sociology	r_a-15150	sociologisch	opus_std-dict
cartographical	eng-30-02681881-a	of or relating to the making of maps or charts	r_a-9805	cartografisch	bing_std-dict
pharmacologic	eng-30-02912686-a	of or relating to pharmacology	d_a-85609	farmacologisch	automatic-rule-1_google_bing_std-dict
asyndetic	eng-30-02381189-a	lacking conjunctions	d_a-14421	asyndetisch	google_std-dict
extant	eng-30-00928525-a	still in existence; not extinct or destroyed or lost	r_a-9452	bestaand	google_std-dict
impolitic	eng-30-01814085-a	not politic	d_a-195111	ontactisch	google_std-dict
genealogic	eng-30-03067329-a	of or relating to genealogy	r_a-11285	genealogisch	google_std-dict
disproportional	eng-30-00483048-a	out of proportion	r_a-10196	disproportioneel	opus_alt-dict
romish	eng-30-02921753-a	of or relating to or supporting Romanism	d_a-248446	Rooms	automatic-rule-1_bing_std-dict
toll-free	eng-30-02816522-a	having no toll levied for its use	r_a-15545	tolvrij	google_std-dict
merciless	eng-30-01507402-a	having or showing no mercy	r_a-12795	meedogenloos	google_std-dict
interstellar	eng-30-02803150-a	between or among stars	d_a-124016	interstellair	automatic-rule-1_bing_opus_std-dict
earned	eng-30-00821367-a	gained or acquired; especially through merit or as a result of effort or action	r_a-16218	verdiend	opus_alt-dict
mycenaean	eng-30-03016857-a	of or relating to or characteristic of ancient Mycenae or its inhabitants	r_a-17023	Myceens	automatic-rule-1_google_bing_opus_std-dict
bosnian	eng-30-02964629-a	of or relating to or characteristic of Bosnia-Herzegovina or the people of Bosnia	r_a-16755	Bosnisch	google_bing_opus_std-dict
unpackaged	eng-30-01739456-a	not packaged or put into packets	d_a-208490	onverpakt	automatic-rule-1_bing_std-dict
unconfirmed	eng-30-01634851-a	not finally established or settled	d_a-192064	onbevestigd	opus_std-dict
anthropometric	eng-30-02629017-a	of or relating to anthropometry	d_a-19351	antropometrisch	automatic-rule-1_google_opus_std-dict
arithmetical	eng-30-03044869-a	relating to or involving arithmetic	d_a-13339	aritmetisch	automatic-rule-1_opus_std-dict
idiomatic	eng-30-03004358-a	of or relating to or conforming to idiom	r_a-11965	idiomatisch	google_std-dict
unaltered	eng-30-00353206-a	remaining in an original state	r_a-13724	onveranderd	opus_alt-dict
prenatal	eng-30-00129103-a	occurring or existing before birth	r_a-14380	prenataal	bing_opus_alt-dict
intracranial	eng-30-02750166-a	within the skull	d_a-124199	intracraniaal	opus_std-dict
surprised	eng-30-02357479-a	taken unawares or suddenly and feeling wonder or astonishment	r_a-16283	verwonderd	google_std-dict
architectonic	eng-30-02898121-a	of or pertaining to construction or architecture	r_a-8798	architectonisch	bing_alt-dict
unintelligent	eng-30-01336587-a	lacking intelligence	d_a-208278	onintelligent	automatic-rule-1_google_bing_std-dict
unendurable	eng-30-02435671-a	incapable of being put up with	r_a-13424	ondraaglijk	google_bing_std-dict
venereal	eng-30-02881567-a	of or relating to the external sex organs	r_a-15925	venerisch	google_opus_std-dict
biogenetic	eng-30-02665212-a	of or relating to the production of living organisms from other living organisms	d_a-31635	biogenetisch	automatic-rule-1_google_opus_std-dict
imprecise	eng-30-01839417-a	not precise	r_a-13600	onnauwkeurig	bing_alt-dict
unpleasant	eng-30-01801600-a	disagreeable to the senses, to the mind, or feelings	r_a-13260	onaangenaam	bing_opus_alt-dict
unsuspected	eng-30-02370329-a	not suspected or believed likely	r_a-13758	onvermoed	bing_opus_alt-dict
wrinkly	eng-30-01360413-a	marked by wrinkles	d_a-142719	kreukelig	google_std-dict
neoplastic	eng-30-02768271-a	of or related to or having the properties of a neoplasm	d_a-187996	neoplastisch	opus_std-dict
bacteriological	eng-30-02914740-a	of or relating to bacteriology	r_a-9517	bacteriologisch	bing_opus_alt-dict
flattering	eng-30-00907661-a	showing or representing to advantage	r_a-16300	vleiend	google_bing_opus_std-dict
hydrous	eng-30-02555387-a	containing combined water (especially water of crystallization as in a hydrate)	d_a-341182	waterhoudend	google_bing_std-dict
cubital	eng-30-02707429-a	of or relating to the elbow	d_a-151247	kubusvormig	automatic-rule-1_bing_std-dict
unthinkable	eng-30-02418538-a	incapable of being conceived or considered	r_a-13384	ondenkbaar	google_bing_opus_std-dict
contractual	eng-30-02702656-a	relating to or part of a binding legal agreement	r_a-9775	contractueel	bing_opus_alt-dict
diverging	eng-30-00612652-a	tending to move apart in different directions	r_a-15788	uiteenlopend	bing_alt-dict
tribal	eng-30-03074922-a	relating to or characteristic of a tribe	r_a-15516	tribaal	automatic-rule-2_bing_opus_alt-dict
celebratory	eng-30-02684875-a	used for celebrating	r_a-10652	feestelijk	google_bing_opus_alt-dict
chassidic	eng-30-02738464-a	of or relating to the Jewish Hasidim or its members or their beliefs and practices	r_a-9847	chassidisch	google_alt-dict
homeopathic	eng-30-03072966-a	of or relating to the practice of homeopathy	r_a-11661	homeopathisch	google_opus_std-dict
unaccessible	eng-30-00019874-a	capable of being reached only with great difficulty or not at all	r_a-13688	ontoegankelijk	google_std-dict
interplanetary	eng-30-02779310-a	between or among planets	r_a-12041	interplanetair	opus_std-dict
dualistic	eng-30-02947252-a	of or relating to the philosophical doctrine of dualism	r_a-10139	dualistisch	google_bing_alt-dict
methodological	eng-30-02943463-a	relating to the methodology of some discipline	r_a-12848	methodologisch	opus_std-dict
infected	eng-30-02113827-a	containing or resulting from disease-causing organisms	d_a-407214	geïnfecteerd	opus_std-dict
epenthetic	eng-30-02720484-a	of or pertaining to epenthesis	d_a-74563	epenthetisch	automatic-rule-1_google_std-dict
mononucleate	eng-30-00241397-a	having only one nucleus	d_a-175179	mononucleair	automatic-rule-1_google_std-dict
reassuring	eng-30-00196934-a	restoring confidence and relieving anxiety	r_a-11305	geruststellend	bing_opus_std-dict
optional	eng-30-00847399-a	possible but not necessary; left to personal choice	r_a-10625	facultatief	google_opus_std-dict
unexploited	eng-30-00942871-a	undeveloped or unused	r_a-13314	onbenut	google_alt-dict
advisable	eng-30-00067038-a	worthy of being recommended or suggested; prudent or wise	r_a-14500	raadzaam	google_opus_std-dict
architectural	eng-30-02897957-a	of or pertaining to the art and science of architecture	r_a-8798	architectonisch	opus_std-dict
holistic	eng-30-01680689-a	emphasizing the organic or functional relation between parts and the whole	r_a-11735	holistisch	opus_std-dict
loamy	eng-30-01425300-a	consisting of or having the character of loam	d_a-164713	leemachtig	google_std-dict
pious	eng-30-01781478-a	having or showing or expressing reverence for a deity	r_a-16174	vroom	bing_opus_alt-dict
plutocratic	eng-30-02781247-a	of or relating to or characteristic of a plutocrat	d_a-220117	plutocratisch	automatic-rule-1_bing_std-dict
sadistic	eng-30-02057535-a	deriving pleasure or sexual gratification from inflicting pain on another	r_a-14784	sadistisch	bing_opus_alt-dict
rhombic	eng-30-02948892-a	resembling a rhombus	d_a-245240	ruitvormig	google_std-dict
protozoic	eng-30-02891869-a	of or relating to the Protozoa	d_a-226827	protozoïsch	google_std-dict
homeopathic	eng-30-03072966-a	of or relating to the practice of homeopathy	r_a-11661	homeopathisch	automatic-rule-1_opus_alt-dict
unhardened	eng-30-01522038-a	not brought to a proper consistency or hardness	d_a-208165	ongehard	google_std-dict
viennese	eng-30-02971192-a	of or relating to or characteristic of Vienna or its inhabitants	r_a-17220	Weens	bing_opus_alt-dict
neolithic	eng-30-03090086-a	of or relating to the most recent period of the Stone Age (following the mesolithic)	d_a-183649	neolithisch	automatic-rule-1_opus_std-dict
univocal	eng-30-00896555-a	admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion	r_a-10359	eenduidig	automatic-rule-1_google_bing_std-dict
sorrowful	eng-30-01364008-a	experiencing or marked by or expressing sorrow especially that associated with irreparable loss	r_a-9163	bedroefd	bing_std-dict
calorimetric	eng-30-02675738-a	of or relating to the measurement of heat	d_a-55162	calorimetrisch	automatic-rule-1_google_std-dict
shaven	eng-30-02153472-a	having the beard or hair cut off close to the skin	r_a-11310	geschoren	google_bing_std-dict
arterial	eng-30-02641856-a	of or involving or contained in the arteries	d_a-13637	arterieel	opus_std-dict
lithographic	eng-30-03081681-a	of or produced by or involved in lithography	d_a-159198	lithografisch	automatic-rule-1_bing_opus_std-dict
inodorous	eng-30-01057775-a	having no odor	d_a-239301	reukloos	google_std-dict
surprising	eng-30-02359464-a	causing surprise or wonder or amazement	r_a-16211	verbazingwekkend	opus_std-dict
hexagonal	eng-30-02741797-a	having six sides or divided into hexagons	d_a-109491	hexagonaal	opus_std-dict
radiological	eng-30-02786744-a	of or relating to radiology	r_a-14510	radiologisch	opus_std-dict
illuminating	eng-30-01325777-a	tending to increase knowledge or dissipate ignorance	d_a-328221	verhelderend	automatic-rule-1_opus_std-dict
taxonomical	eng-30-03018498-a	of or relating to taxonomy	d_a-299727	taxonomisch	automatic-rule-1_google_bing_std-dict
plowed	eng-30-01832945-a	(of farmland) broken and turned over with a plow	r_a-9235	beschonken	opus_std-dict
eutrophic	eng-30-02716247-a	(ecology) of a lake or other body of water rich in nutrients and subject to eutrophication	d_a-76145	eutroof	opus_std-dict
homeric	eng-30-03073251-a	relating to or characteristic of Homer or his age or the works attributed to him	r_a-11662	homerisch	bing_alt-dict
carbonaceous	eng-30-02863724-a	relating to or consisting of or yielding carbon	d_a-151099	koolstofhoudend	google_bing_opus_std-dict
sadomasochistic	eng-30-02791483-a	of or relating to sadomasochism	d_a-283883	sadomasochistisch	automatic-rule-1_google_bing_opus_std-dict
specialised	eng-30-02277607-a	developed or designed for a special activity or function	r_a-11315	gespecialiseerd	automatic-rule-1_google_opus_std-dict
overt	eng-30-01704761-a	open and observable; not secret or hidden	r_a-15791	uitgesproken	opus_std-dict
episcopal	eng-30-02954981-a	of or pertaining to or characteristic of the Episcopal church	r_a-9480	bisschoppelijk	bing_opus_std-dict
unprecedented	eng-30-00128572-a	having no precedent; novel	r_a-13483	ongekend	opus_std-dict
alphameric	eng-30-02614579-a	of or pertaining to alphanumeric characters	r_a-8751	alfanumeriek	google_alt-dict
obstetric	eng-30-02917694-a	of or relating to or used in or practicing obstetrics	d_a-311056	verloskundig	automatic-rule-1_bing_opus_std-dict
malodourous	eng-30-01053144-a	having an unpleasant smell	d_a-197419	onwelriekend	automatic-rule-1_google_std-dict
bathyal	eng-30-02974248-a	relating to ocean depths between 200 and 2000 meters (corresponds to the continental slope)	r_a-9773	continentaal	bing_alt-dict
edifying	eng-30-01325451-a	enlightening or uplifting so as to encourage intellectual or moral improvement	d_a-418602	verheerlijkt	automatic-rule-1_opus_std-dict
neurological	eng-30-02917893-a	of or relating to or used in or practicing neurology	r_a-13119	neurologisch	automatic-rule-1_google_bing_opus_std-dict
extracellular	eng-30-02685539-a	located or occurring outside a cell or cells	d_a-77227	extracellulair	opus_std-dict
remediable	eng-30-01962631-a	capable of being remedied or redressed	r_a-11809	herstelbaar	google_std-dict
convex	eng-30-00537339-a	curving or bulging outward	d_a-52104	convex	automatic-rule-1_bing_opus_std-dict
umbelliferous	eng-30-02819848-a	relating to or belonging to plants of the family Umbelliferae	d_a-252684	schermbloemig	google_bing_std-dict
identifiable	eng-30-01272397-a	capable of being identified	r_a-8860	aanwijsbaar	opus_alt-dict
spoken	eng-30-02283703-a	uttered through the medium of speech or characterized by speech; sometimes used in combination	r_a-11317	gesproken	bing_opus_std-dict
unprecedented	eng-30-00128572-a	having no precedent; novel	r_a-13483	ongekend	bing_opus_alt-dict
contestable	eng-30-00590390-a	capable of being contested	r_a-9549	betwistbaar	google_bing_std-dict
cognizable	eng-30-01374582-a	capable of being known	r_a-15807	waarneembaar	bing_std-dict
venereal	eng-30-02881567-a	of or relating to the external sex organs	r_a-15925	venerisch	opus_alt-dict
earthly	eng-30-01180695-a	of or belonging to or characteristic of this earth as distinguished from heaven	r_a-8689	aards	bing_opus_alt-dict
unmanned	eng-30-01479940-a	lacking a crew	r_a-13309	onbemand	google_bing_opus_alt-dict
cardiovascular	eng-30-02874130-a	of or pertaining to or involving the heart and blood vessels	d_a-46031	cardiovasculair	automatic-rule-1_google_bing_opus_std-dict
unpackaged	eng-30-01739456-a	not packaged or put into packets	d_a-208490	onverpakt	google_opus_std-dict
socialistic	eng-30-00298041-a	advocating or following the socialist principles	r_a-14960	socialistisch	google_std-dict
four-wheel	eng-30-02731461-a	of or relating to vehicles with four wheels	d_a-328499	vierwielig	automatic-rule-1_bing_std-dict
inculpatory	eng-30-00923993-a	causing blame to be imputed to	d_a-44745	beschuldigend	google_std-dict
harmful	eng-30-01160031-a	causing or capable of causing harm	r_a-14804	schadelijk	bing_opus_alt-dict
odourless	eng-30-01057775-a	having no odor	r_a-11454	geurloos	google_opus_std-dict
disingenuous	eng-30-01310685-a	not straightforward or candid; giving a false appearance of frankness	d_a-194868	onoprecht	google_bing_opus_std-dict
informatory	eng-30-01304570-a	providing or conveying information	r_a-11907	informatief	google_alt-dict
instructive	eng-30-01323449-a	serving to instruct or enlighten or inform	r_a-11936	instructief	opus_std-dict
subsonic	eng-30-00175719-a	(of speed) less than that of sound in a designated medium	d_a-277720	subsonisch	automatic-rule-1_bing_opus_std-dict
blended	eng-30-01329138-a	combined or mixed together so that the constituent parts are indistinguishable	r_a-10923	gemengd	bing_std-dict
unrealistic	eng-30-01941999-a	not realistic	r_a-13646	onrealistisch	google_bing_opus_std-dict
postnatal	eng-30-00129467-a	occurring immediately after birth	r_a-14358	postnataal	bing_opus_alt-dict
nuptial	eng-30-02843495-a	of or relating to a wedding	r_a-11760	huwelijks	bing_alt-dict
untidy	eng-30-02424254-a	not neat and tidy	d_a-194882	onordelijk	bing_opus_std-dict
continued	eng-30-00597758-a	without stop or interruption	r_a-16322	voortgezet	bing_opus_std-dict
expired	eng-30-00937985-a	having come to an end or become void after passage of a period of time	d_a-418684	verstreken	opus_std-dict
unipolar	eng-30-02475529-a	having a single pole	d_a-303811	unipolair	opus_std-dict
unfurnished	eng-30-01098154-a	not equipped with what is needed especially furniture	d_a-194141	ongemeubileerd	automatic-rule-1_bing_std-dict
cognitive	eng-30-02898584-a	of or being or relating to or involving cognition	r_a-9742	cognitief	opus_std-dict
onomastic	eng-30-02771174-a	of or related to onomastics	d_a-194785	onomastisch	automatic-rule-1_google_bing_std-dict
hematologic	eng-30-02917470-a	of or relating to or involved in hematology	d_a-107880	hematologisch	automatic-rule-1_google_std-dict
hierarchal	eng-30-01203288-a	classified according to various criteria into successive levels or layers	r_a-11650	hiërarchisch	google_bing_alt-dict
derived	eng-30-00698262-a	formed or developed from something else; not original	d_a-400669	afgeleid	automatic-rule-1_google_opus_std-dict
intramuscular	eng-30-02882838-a	within a muscle	d_a-124207	intramusculair	automatic-rule-1_google_bing_opus_std-dict
ineradicable	eng-30-00898289-a	not able to be destroyed or rooted out	r_a-12031	ingeworteld	google_std-dict
gnomic	eng-30-02849475-a	relating to or containing gnomes	d_a-102831	gnomisch	google_std-dict
malnourished	eng-30-02300914-a	not being provided with adequate nourishment	r_a-13412	ondervoed	google_opus_std-dict
illuminating	eng-30-01325777-a	tending to increase knowledge or dissipate ignorance	d_a-328221	verhelderend	bing_opus_std-dict
unrecoverable	eng-30-01956523-a	incapable of being recovered or regained	r_a-13565	onherstelbaar	google_std-dict
pardonable	eng-30-01721059-a	admitting of being pardoned	d_a-309038	vergeeflijk	google_std-dict
specialized	eng-30-02277607-a	developed or designed for a special activity or function	r_a-11315	gespecialiseerd	bing_opus_std-dict
exoteric	eng-30-00900478-a	suitable for the general public	d_a-76816	exoterisch	google_std-dict
anthropological	eng-30-02907175-a	of or concerned with the science of anthropology	r_a-9011	antropologisch	opus_std-dict
gnostic	eng-30-02849594-a	of or relating to Gnosticism	d_a-94583	gnostisch	automatic-rule-1_google_bing_opus_std-dict
octangular	eng-30-02834862-a	of or relating to or shaped like an octagon	d_a-4378	achtkantig	automatic-rule-1_bing_std-dict
unsociable	eng-30-02258600-a	not inclined to society or companionship	r_a-12828	mensenschuw	opus_std-dict
sublittoral	eng-30-02888757-a	of or relating to the region of the continental shelf (between the seashore and the edge of the continental shelf) or the marine organisms situated there	d_a-277636	sublitoraal	google_std-dict
impermeable	eng-30-01772609-a	preventing especially liquids to pass or diffuse through	r_a-13421	ondoordringbaar	google_std-dict
curly	eng-30-01030022-a	(of hair) having curls or waves	r_a-11262	gekruld	google_std-dict
unalike	eng-30-01410905-a	not alike or similar	r_a-16009	verschillend	bing_std-dict
hirsute	eng-30-00212173-a	having or covered with hair	r_a-9187	behaard	google_std-dict
limbic	eng-30-03011036-a	of or relating to or forming a limbus	d_a-158628	limbisch	automatic-rule-1_bing_opus_std-dict
romish	eng-30-02921753-a	of or relating to or supporting Romanism	r_a-14240	paaps	google_std-dict
ungrammatical	eng-30-01146207-a	not grammatical; not conforming to the rules of grammar or accepted usage	r_a-11168	grammaticaal	bing_std-dict
metallurgical	eng-30-03086294-a	of or relating to metallurgy	d_a-180502	metallurgisch	automatic-rule-1_bing_opus_std-dict
undemocratic	eng-30-00717417-a	not in agreement with or according to democratic doctrine or practice or ideals	r_a-13383	ondemocratisch	opus_std-dict
calligraphic	eng-30-02909651-a	of or relating to or expressed in calligraphy	d_a-150837	kalligrafisch	automatic-rule-1_google_bing_opus_std-dict
obstetrical	eng-30-02917694-a	of or relating to or used in or practicing obstetrics	d_a-311056	verloskundig	opus_std-dict
sarcastic	eng-30-02079029-a	expressing or expressive of ridicule that wounds	r_a-14792	sarcastisch	automatic-rule-1_bing_opus_std-dict
earthly	eng-30-01180695-a	of or belonging to or characteristic of this earth as distinguished from heaven	r_a-8689	aards	google_std-dict
unrighteous	eng-30-02037272-a	not righteous	r_a-13649	onrechtvaardig	bing_alt-dict
meteorological	eng-30-02865479-a	of or pertaining to atmospheric phenomena, especially weather and weather conditions	r_a-12844	meteorologisch	google_opus_std-dict
irreversible	eng-30-01759362-a	incapable of being reversed	d_a-125172	irreversibel	automatic-rule-1_opus_std-dict
phrenological	eng-30-02778016-a	of or relating to phrenology	d_a-83517	frenologisch	bing_std-dict
