lemma	rbn_id	synset_id	pos	ODWN_gloss	hypernym(s)	hypernym_gloss	ILI_English_gloss				
weerhouden	r_v-9944	odwn-10-103802816-v	v	terughouden van;back love	eng-30-00766418-v	'cause somebody to adopt a certain position, belief, or course of action; twist somebody''s arm'					
graat	r_n-15585	odwn-10-100873003-n	n	braam aan een beitel;burr on a chisel	eng-30-02923802-n	rough projection left on a workpiece after drilling or cutting					
buffet	r_n-8712	odwn-10-106848435-n	n	geheel van gerechten;whole food	eng-30-15245990-n	any of the occasions for eating food that occur by custom or habit at more or less fixed times					
Nobelprijswinnaar	r_n-25117	odwn-10-108164649-n	n	winnaar v.e. Nobelprijs;winner of a Nobel	eng-30-10752930-n	a combatant who is able to defeat rivals					
exameneis	r_n-12791	odwn-10-105136534-n	n	eisen aan examinandi;demands examinees	eng-30-07260623-n	a basis for comparison; a reference point against which other things can be evaluated					
inplanten	r_v-3506	odwn-10-107284914-v	v	implanteren;implanting	eng-30-00187526-v	introduce					
chinezen	r_v-1958	odwn-10-101405407-v	v	Chinees eten;Chinese food	eng-30-01166351-v	eat a meal; take a meal					
rollenpatroon	r_n-31929	odwn-10-101682496-n	n		eng-30-04623612-n	your usual mood					
tuchtcommissie	r_n-38657	odwn-10-104932973-n	n	commissie voor tuchtzaken in sport;commission for disciplinary matters in sport	eng-30-08324514-n	a special group delegated to consider some matter					
bowling	r_n-8333	odwn-10-101972032-n	n	spel;game	eng-30-00455599-n	a contest with rules to determine a winner					
lappen	r_v-4286	odwn-10-102210649-v	v	iemand narigheid bezorgen;give someone trouble	eng-30-00102586-v	cause or do harm to					
'spring-in-''t-veld'	r_n-35252	odwn-10-105763566-n	n	beweeglijk kind;mobile child	eng-30-09917593-n	a young person of either sex					
uitvogelen	r_v-8598	odwn-10-109215050-v	v	uitvissen;ferret out	eng-30-00644583-v	consider in detail and subject to an analysis in order to discover essential features or meaning					
privé-onderwijs	r_n-29695	odwn-10-108780317-n	n	particulier onderwijs	eng-30-00883297-n	the activities of educating or instructing; activities that impart knowledge or skill					
forceren	r_v-2805	odwn-10-109847100-v	v	verplichten iets te doen;obligation to do something	eng-30-02536557-v	have and exert influence or effect					
zonnebank	r_n-44327	odwn-10-100421864-n	n	apparaat dat de huid bruint;device that skin tans	eng-30-04177755-n	a small sofa					
veiligheidsklep	r_n-39750	odwn-10-100034114-n	n	voorziening t.b.v. de veiligheid;facility for safety	eng-30-00002684-n	a tangible and visible entity; an entity that can cast a shadow					
Parijzenaar	r_n-27663	odwn-10-105348148-n	n	inwoner Parijs;resident Paris	eng-30-09620078-n	a person who inhabits a particular place					
smoezen	r_v-7259	odwn-10-108854850-v	v	zacht, bedekt praten;soft , coated talk	eng-30-00943837-v	give expression to					
dia	r_n-10789	odwn-10-104402033-n	n	te projecteren fotografische opname;projecting photographic recording	eng-30-03931044-n	a visual representation (of an object or scene or person or abstraction) produced on a surface					
poolexpeditie	r_n-29183	odwn-10-102602090-n	n	expeditie naar de poolstreken;expedition to the polar regions	eng-30-00309647-n	a journey organized for a particular purpose					
spook	r_n-35127	odwn-10-101383280-n	n	vervelend meisje;annoying girl	eng-30-09917593-n	a young person of either sex					
drenzen	r_v-2526	odwn-10-102994718-v	v	dreinen;whimper	eng-30-00844941-v	bother persistently with trivial complaints					
openluchtrecreatie	r_n-26573	odwn-10-107478287-n	n	recreatie in de open lucht;recreation in the open air	eng-30-00426928-n	an activity that diverts or amuses or stimulates					
omtrekken	r_v-5127	odwn-10-101268000-v	v	trekken rondom;draw around	eng-30-01845720-v	undertake a journey or trip					
regulering	r_n-31118	odwn-10-100660258-n	n	het in banen leiden of regelmatig maken;the channeling or regularly	eng-30-00805034-n	the act of controlling or directing according to rule					
bendevorming	r_n-6613	odwn-10-103835991-n	n	vorming v.e. bende;formation of a gang	eng-30-00240184-n	the act of starting something for the first time; introducing something new					
bedwateren	r_v-1125	odwn-10-100201855-v	v	in bed plassen;bedwetting	eng-30-01511706-v	cause to move forward with force					
stoombad	r_n-36007	odwn-10-100544937-n	n	het inhaleren van stoom ter genezing	eng-30-00658082-n	care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)					
beheersgebied	r_n-6353	odwn-10-101508551-n	n	gebied deels onder natuurbeheer;partly under nature conservation area	eng-30-08600992-n	a tract of land declared by the national government to be public property					
betichten	r_v-1466	odwn-10-109155767-v	v	beschuldigen;accuse	eng-30-00952524-v	let something be known					
onderverdelen	r_v-5226	odwn-10-102094485-v	v	verder verdelen;further divide	eng-30-00654625-v	arrange or order by classes or categories					
afsnauwen	r_v-752	odwn-10-102460263-v	v	snauwend toespreken;snarling address	eng-30-00717358-v	show a response or a reaction to something					
spek	r_n-34904	odwn-10-105691940-n	n	sponsachtig snoepgoed;spongy sweets	eng-30-07557165-n	something considered choice to eat					
prikkel	r_n-29635	odwn-10-101981645-n	n	prikkeling v.e. zintuig;stimulus of a sense	eng-30-05827684-n	any stimulating information or event; acts to arouse action					
stralen	r_v-7583	odwn-10-103843625-v	v	licht of warmte geven;give light or heat	eng-30-01835496-v	change location; move, travel, or proceed, also metaphorically					
baggeren	r_v-1038	odwn-10-106093639-v	v	bagger opdiepen;dredging dig	eng-30-00124442-v	go or proceed from one point to another					
astronavigatie	r_n-4079	odwn-10-103006548-n	n	sturing door de ruimte;steering through space	eng-30-00815801-n	the guidance of ships or airplanes from place to place					
drugshandelaar	r_n-11675	odwn-10-102429908-n	n	iemand die handelt in drugs;someone who deals in drugs	eng-30-10720453-n	someone who purchases and maintains an inventory of goods to be sold					
trommel	r_n-38559	odwn-10-105237736-n	n	doos om iets in te bewaren;box to hold something	eng-30-02946921-n	airtight sealed metal container for food or drink or paint etc.					
scheepvaartroute	r_n-32841	odwn-10-109542290-n	n	route gebruikt in de scheepvaart;route used in shipping	eng-30-08616311-n	an established line of travel or access					
vrijkomen	r_v-9854	odwn-10-101700409-v	v	loskomen;loose	eng-30-02623529-v	come into existence					
wegkapen	r_v-9990	odwn-10-107338808-v	v	gappen;filch	eng-30-01212572-v	take hold of; grab					
accommodatie	r_n-2542	odwn-10-109705850-n	n	inrichting voor een bepaald doel;device for a particular purpose	eng-30-00578549-n	a service that an organization or a piece of equipment offers you					
chartermaatschappij	r_n-9283	odwn-10-100295434-n	n	maatschappij met charterdiensten;company with charter services	eng-30-02690081-n	a commercial enterprise that provides scheduled flights for passengers					
West-Vlaming	r_n-43061	odwn-10-101622023-n	n	inwoner West-Vlaanderen	eng-30-09620078-n	a person who inhabits a particular place					
vurenhout	r_n-42029	odwn-10-107777294-n	n	hout v.d. fijne spar	eng-30-15098161-n	the hard fibrous lignified substance under the bark of trees					
orkestratie	r_n-26902	odwn-10-100898484-n	n	orkestbewerking v.e. muziekstuk;orchestral arrangement of a piece	eng-30-06408779-n	a written work (as a novel) that has been recast in a new form					
inname	r_n-17964	odwn-10-104147776-n	n	verovering	eng-30-00083975-n	a deliberate act of acquisition of something, often without the permission of the owner					
gras	r_n-15641	odwn-10-101665221-n	n	groen weidegewas;green pasture crop	eng-30-00004475-n;eng-30-13153633-n	a living thing that has (or can develop) the ability to act or function independently					
waardering	r_n-42126	odwn-10-100957925-n	n	achting	eng-30-13920835-n	a state at a particular time					
uitstroom	r_n-39133	odwn-10-102734463-n	n	mensen of zaken die iets verlaten;people or things that leave something	eng-30-00391599-n	the act of removing					
karate	r_n-19089	odwn-10-106905839-n	n	vechtsport	eng-30-00523513-n	an active diversion requiring physical exertion and competition					
flitslicht	r_n-13386	odwn-10-107373653-n	n	soort van verlichting;kind of lighting	eng-30-11473954-n	(physics) electromagnetic radiation that can produce a visual sensation					
verwording	r_n-40664	odwn-10-100954962-n	n	achteruitgang	eng-30-13460299-n	the process of declining from a higher to a lower level of effective power or vitality or essential quality					
kopman	r_n-20506	odwn-10-108762728-n	n	lijsttrekker;party leader	eng-30-10450303-n	a person active in party politics					
voedsel	r_n-41295	odwn-10-104362198-n	n	eten;food	eng-30-00020827-n	that which has mass and occupies space					
kwast	r_n-21110	odwn-10-104251251-n	n	verfgereedschap;paint tools	eng-30-02908217-n	an implement that has hairs or bristles firmly set into a handle					
hof	r_n-16930	odwn-10-100191357-n	n	de hele omgeving te midden waarvan een vorst leeft;surrounded the entire area of ​​which lives a prince	eng-30-13963192-n	a characteristic state or mode of living					
Braziliaans	r_n-8432	odwn-10-109269494-n	n	Braziliaans Portugees	eng-30-06966310-n	the Romance language spoken in Portugal and Brazil					
overhevelingstoeslag	r_n-27141	odwn-10-105753561-n	n	bepaalde toeslag voor volksverzekeringen;some allowance for national insurance schemes	eng-30-13331198-n	a quantity of money					
verzekeren	r_v-9531	odwn-10-107052853-v	v	garanderen;guarantee	eng-30-00952524-v	let something be known					
paradox	r_n-27599	odwn-10-103609793-n	n	schijnbare tegenspraak;apparent contradiction	eng-30-06722453-n	a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc					
basketballen	r_v-1067	odwn-10-102727869-v	v	basketbal spelen;play basketball	eng-30-01072949-v	participate in games or sport					
cisterciënzer	r_n-9410	odwn-10-105204248-n	n	monnik in een Franse kloosterorde	eng-30-10112129-n	a male religious living in a cloister and devoting himself to contemplation and prayer and work					
promoveren	r_v-6484	odwn-10-105137140-v	v	doctor worden;doctor be	eng-30-00248659-v	develop in a positive way					
bitter	r_n-7451	odwn-10-101450714-n	n	jenever	eng-30-07884567-n	a liquor or brew containing alcohol as the active agent					
stangen	r_v-7454	odwn-10-103291842-v	v	jennen;teasing	eng-30-01646866-v	evoke or provoke to appear or occur					
opstopping	r_n-26766	odwn-10-105370492-n	n	opeenhoping in het verkeer	eng-30-07959269-n	a jumbled collection or mass					
bevorderen	r_v-1527	odwn-10-109738292-v	v	promoveren;PhD	eng-30-00153263-v	make bigger or more					
clavecimbel	r_n-9437	odwn-10-104342156-n	n		eng-30-04338517-n	a musical instrument in which taut strings provide the source of sound					
opstapelen	r_v-5804	odwn-10-102991750-v	v	steeds meer worden;are increasingly	eng-30-00156601-v	become bigger or greater in amount					
woningbouw	r_n-43497	odwn-10-106484695-n	n	het bouwen van woningen	eng-30-00911048-n	the act of constructing something					
lid	r_n-22102	odwn-10-103290024-n	n	(onder)deel;bottom part	eng-30-03081021-n	an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system					
schoenendoos	r_n-33056	odwn-10-105253274-n	n	doos voor schoenen;box for shoes	eng-30-02883344-n	a (usually rectangular) container; may have a lid					
uithangbord	r_n-39006	odwn-10-108581937-n	n	naambord v.e. winkel	eng-30-06793231-n	a public display of a message					
kandelaar	r_n-18947	odwn-10-103192687-n	n	kaarsenhouder	eng-30-03525454-n	a holding device					
meningsverschil	r_n-23584	odwn-10-101216925-n	n	verschil in visie op een zaak;difference of opinion on a matter	eng-30-00958896-n	an open clash between two opposing groups (or individuals)					
ontwikkelingssamenwerking	r_n-26306	odwn-10-103204416-n	n	samenwerking in ontwikkelingshulp;cooperation in development	eng-30-00411384-n	the practice of cooperating					
bureaulamp	r_n-8841	odwn-10-106726137-n	n	lamp voor op een bureau	eng-30-03636248-n	an artificial source of visible illumination					
partijtop	r_n-27769	odwn-10-103471140-n	n	gezamenlijke leiders v.d. partij;joint chiefs of the party	eng-30-08381165-n	those in charge of running a business					
brunch	r_n-8675	odwn-10-102123281-n	n	maaltijd;meal	eng-30-15245990-n	any of the occasions for eating food that occur by custom or habit at more or less fixed times					
dwingen	r_v-7717_sub_1	odwn-10-105852399-v	v		eng-30-02536557-v	have and exert influence or effect					
monument	r_n-24228	odwn-10-104731092-n	n	iets bedoeld om te blijven herinneren;meant something to remember	eng-30-03743902-n	a structure erected to commemorate persons or events					
stampei	r_n-35523	odwn-10-100279341-n	n	herrie;noise	eng-30-14008050-n	the state of being or appearing to be actively engaged in an activity					
pompwater	r_n-29153	odwn-10-107689252-n	n	naar boven gepompt water;upward pumped water	eng-30-14845743-n	binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent					
diepdruk	r_n-10892	odwn-10-106152757-n	n	bepaalde soort plaatdruk;some kind of pressure plate	eng-30-05665146-n	a practical method or art applied to some particular task					
inbrengen	r_v-3346	odwn-10-104556817-v	v	voorstellen;proposals	eng-30-00952524-v	let something be known					
kantklossen	r_v-3783	odwn-10-106440801-v	v	kantwerk maken;lace making	eng-30-00515154-v	subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition					
schaalverkleining	r_n-32658	odwn-10-107768562-n	n	het kleiner maken/worden;making smaller or be	eng-30-00355919-n	the act of reducing something to the least possible amount or degree or position					
